,Course Name,State,County,City,Street,Zip Code,Website,Email,Phone,Green Fees Weekend,Green Fees Weekday,Year Built,Annual Rounds,Manager,Club Pro,Superintendant,Guest Policy,Holes
19,Clay County Public Golf Course,AL,Clay,Ashland,120 Country Club Rd,36251-7852,,,256-354-2814,$16.00,$13.00,1962,N/A,Danny Bishop,Danny Bishop,Danny Bishop,Open,9
20,Athens Golf & Country Club,AL,Limestone,Athens,518 Hatfield Rd,35611-8412,,athenscc@aol.com,256-232-0809,$16.00,$12.00,1952,"10,000 (estimated)",Carolyn Weatherford,Carolyn Weatherford,Dean Phillips,Open,9
21,Canebrake Golf Club,AL,Limestone,Athens,23015 Founders Cr,35613-,http://www.canebrakeclub.com,info@canebrakeclub.com,256-232-2412,$60.00,$50.00,1998,N/A,Tommy Solomon,Tommy Solomon,Stephen Johnson,Open,18
22,Chriswood Golf Course,AL,Limestone,Athens,26181 Nick Davis Rd,35613-,,,256-232-9759,$12.00,$10.00,1966,N/A,Bobby Turpen,Bobby Turpen,Bobby Turpen,Open,18
23,Southern Gales Golf Club,AL,Limestone,Athens,22045 Mooresville Rd,35613-3808,,,256-232-9888,$18.00,$14.00,1995,"27,000 (estimated)",Jerry Alldredge,Mike Greer,Jerry Long,Open,18
24,Woodland Golf Course,AL,Limestone,Athens,Route 7 2341hine St,35611-,,,256-233-5847,$10.00,$10.00,1969,N/A,Jim Burleson,Jim Burleson,Jim Burleson,Open,9
25,Atmore Country Club,AL,Escambia,Atmore,4474 Hwy 31 S,36502-,,,334-368-4486,$20.00,$20.00,1963,N/A,Gerald Stacey,Ray Bolden,Clint Smith,Reciprocal,9
26,Wills Creek Country Club,AL,Etowah,Attalla,216 Country Club Rd,35954-2603,,,256-538-8781,$24.00,$15.00,1965,N/A,Clayton Dobbins,Richard Burroughs,Clayton Dobbins,Open,18
27,Auburn Links at Mill Creek,AL,Lee,Auburn,826 Shelltoomer Pkwy,36831-6958,,auburnlinks@mindspring.com,334-887-5151,$27.00,$20.00,1992,"35,000 (estimated)",John Karabasz,John Karabasz,Todd Rogers,Open,18
28,Indian Pines Recreational Authority,AL,Lee,Auburn,900 Country Club Ln,36830-5208,,,334-821-0880,$16.00,$11.00,1958,"45,000 (estimated)",Kevin Pettit,Kevin Pettit,Tommy Harper,Open,18
29,Moores Mill Golf Club,AL,Lee,Auburn,1957 Fairway Dr,36830-6619,http://www.mooresmillgolfclub.com,mooresmillgolfclub@earthlink.net,334-826-8989,$27.00,$22.00,N/A,N/A,Tommy Solomon,Tommy Solomon,Buddy Williams,Open,18
30,Pin Oaks Golf Club,AL,Lee,Auburn,Us 29 S,36830-,,,334-821-0893,$14.00,$12.00,1973,"16,000 (estimated)",Jackie Maness,Margarette Maness,Jackie Maness,Open,18
31,Holly Hills Country Club,AL,Baldwin,Bay Minette,Hwy 31 S,36507-,,,334-937-8230,$19.00,$19.00,1966,"11,500 (estimated)",Jim Jordan,Jim Jordan,Joe Robertson,Reciprocal,9
32,Brook Graveyard Course at Bent Brook Golf Course,AL,Jefferson,Bessemer,7900 Dickey Springs Rd,35022-6378,,,205-424-2368,$51.98,$41.48,1988,"50,000 (estimated)",David Smith,Lynn Shaffer,Todd Sloan,Open,27
33,Frank House Municipal Golf Course,AL,Jefferson,Bessemer,801 Golf Course Rd,35022-6001,,,205-424-9540,$27.00,$23.00,1972,"34,000 (estimated)",Lee Harpor,Lee Harpor,James Dunning,Open,18
34,Graveyard Windmill Course at Bent Brook Golf Course,AL,Jefferson,Bessemer,7900 Dickey Springs Rd,35022-6378,,,205-424-2368,$32.50,$22.50,1988,"50,000 (estimated)",David Smith,Lynn Shaffer,Todd Sloan,Open,27
35,Windmill Brook Course at Bent Brook Golf Course,AL,Jefferson,Bessemer,7900 Dickey Springs Rd,35022-6378,,,205-424-2368,$32.50,$22.50,1988,"50,000 (estimated)",David Smith,Lynn Shaffer,Todd Sloan,Open,27
36,Woodward Golf Club,AL,Jefferson,Bessemer,2141 Wheel Dr,35020-2611,,,205-424-5500,$30.00,$25.00,1916,"40,000 (estimated)",Jerry Applegate,Jerry Applegate,Rob Milliken,Closed,18
37,Altadena Valley Country Club,AL,Jefferson,Birmingham,2651 Alta Vista Dr,35243-4201,,,205-967-5324,$30.00,$25.00,1940,"30,000 (estimated)",John Fell,John Fell,Mickey Hughes,Closed,18
38,Chace Lake Country Club,AL,Jefferson,Birmingham,1850 Montgomery Hwy S,35244-2516,,,205-988-5219,$35.00,$35.00,1966,"45,000 (estimated)",Randy Williams,David Juhola,Rick Rounsavall,Closed,18
39,Eagle Point Golf Club,AL,Shelby,Birmingham,4500 Eagle Point Dr,35242-6906,http://www.eaglepointgolfclub.com,,205-991-9070,$42.00,$32.00,1990,N/A,N/A,Jim Wise,Dennis Parker,Open,18
40,East Course at Country Club of Birmingham,AL,Jefferson,Birmingham,1 New Country Club Rd,35213-3636,,,205-879-4611,$40.00,$40.00,1927,N/A,Ben Freeman,Ben Freeman,Lee McLemore,Closed,36
41,Founders Course at Greystone Golf & Country Club,AL,Shelby,Birmingham,4100 Greystone Dr,35242-,http://www.greystonecc.com,ahiers@greystonecc.com,205-980-5200,$90.00,$50.00,1991,"45,000 (estimated)",Gary Kamenicky,Steve Smith,Tom Vlach,Closed,36
42,Grayson Valley Country Club,AL,Jefferson,Birmingham,2201 Grayson Valley Dr,35235-2027,,,205-854-2382,$30.00,$25.00,1976,"40,000 (estimated)",Bart Howse,Bart Howse,Robert Vandevere,Reciprocal,18
43,Heatherwood Country Club,AL,Shelby,Birmingham,400 Saint Annes Dr,35244-3621,,hightee@aol.com,205-991-7474,$50.00,$50.00,1986,"30,000 (estimated)",Mike Murray,Mike Murray,Jeff Lamons,Reciprocal,18
44,Highland Park Golf Course,AL,Jefferson,Birmingham,3300 Highland Ave S,35205-1411,,,205-322-1902,$30.00,$25.00,1998,N/A,Greg Gossett,Greg Gossett,Bill Hirchert,Open,18
45,Hoover Country Club,AL,Jefferson,Birmingham,3140 Club Dr,35226-,,,205-822-5707,$48.00,$48.00,N/A,"40,000 (estimated)",Steve Karamichael,Brian Watermueller,Doug Trosper,Reciprocal,18
46,Inverness Country Club,AL,Jefferson,Birmingham,1 Country Club Dr,35242-,,,205-991-8608,$40.00,$35.00,1973,"32,000 (estimated)",Denton Scott,Stevenson White,Rodney Guy,Closed,18
47,Legacy Course at Greystone Golf & Country Club,AL,Shelby,Birmingham,4100 Greystone Dr,35242-,http://www.greystonecc.com,ahiers@greystonecc.com,205-980-5200,$105.00,$60.00,2000,"45,000 (estimated)",Gary Kamenicky,Steve Smith,Tom Vlach,Closed,36
48,Mountain Brook Club,AL,Jefferson,Birmingham,19 Beachwood Rd,35213-,,,205-871-2116,$45.00,$45.00,1929,N/A,Todd Edwards,Todd Edwards,Matt Bryans,Closed,18
49,Pine Tree Country Club,AL,Jefferson,Birmingham,5100 Pine Whispers Dr,35210-3400,,ptccgolf@sns.net.net,205-956-1555,$55.00,$50.00,1969,"25,000 (estimated)",Steve Korson,Rick Seal,Larry Balko,Reciprocal,18
50,Ridge Course at Oxmoor Valley Golf Course,AL,Jefferson,Birmingham,100 Sunbelt Pkwy,35211-5958,http://www.rtjgolf.com/trail/,info@rtjgolf.com,205-942-1177,$49.00,$49.00,1992,"96,000 (estimated)",Brad Shirley,Bryan Reynolds,Jeff Christianson,Open,54
51,Riverchase Country Club,AL,Shelby,Birmingham,2000 Club Rd,35244-1412,,,205-988-8111,$55.00,$55.00,1975,"30,000 (estimated)",Bryan McMurray,Bryan McMurray,Todd Daniel,Reciprocal,18
52,Roebuck Municipal Golf Course,AL,Jefferson,Birmingham,8920 Roebuck Blvd,35206-1524,,,205-836-7318,$15.00,$15.00,1963,N/A,John Trammell,John Trammell,Frank Moon,Open,18
53,Shoal Creek Golf Club,AL,Shelby,Birmingham,100 New Williamsburg Dr,35242-5940,,,205-991-9001,$85.00,$85.00,1976,"14,000 (estimated)",Pete Just,Pete Just,Jim Simmons,Closed,18
54,Short Course at Oxmoor Valley Golf Course,AL,Jefferson,Birmingham,100 Sunbelt Pkwy,35211-5958,http://www.rtjgolf.com/trail/,info@rtjgolf.com,205-942-1177,$15.00,$15.00,1992,"96,000 (estimated)",Brad Shirley,Bryan Reynolds,Jeff Christianson,Open,54
55,Valley Course at Oxmoor Valley Golf Course,AL,Jefferson,Birmingham,100 Sunbelt Pkwy,35211-5958,http://www.rtjgolf.com,info@rtjgolf.com,205-942-1177,$49.00,$49.00,1992,"96,000 (estimated)",Brad Shirley,Bryan Reynolds,Jeff Christianson,Open,54
56,Vestavia Country Club,AL,Jefferson,Birmingham,400 Beaumont Dr,35216-1307,,,205-822-8300,$50.00,$50.00,1950,"36,000 (estimated)",Allen Austin,Allen Austin,Steven Ashburner,Closed,18
57,West Course at Country Club of Birmingham,AL,Jefferson,Birmingham,1 New Country Club Rd,35213-3636,,,205-879-4611,$40.00,$40.00,1929,N/A,Ben Freeman,Ben Freeman,Lee McLemore,Closed,36
58,West Side Golf,AL,Jefferson,Birmingham,3501 Cleburn Ave Sw,35221-1031,,,205-923-2979,$7.00,$7.00,1975,N/A,Steve Humphries,Richard Santagata,Joe Jackson,Open,9
59,Boaz Golf Club,AL,Marshall,Boaz,1715 Alabama Hwy 205 S,35957-,,,256-593-5501,$24.00,$24.00,,N/A,Mike Parrish,Mike Parrish,Scott Harris,Open,18
60,Country Club of Brewton,AL,Escambia,Brewton,700 Clubhouse Road,36426-3129,,,251-867-4100,$42.00,$42.00,1997,"23,000 (estimated)",Scott Hadley,Scott Hadley,Pat Davenport,Open,18
61,Brundidge Country Club,AL,Pike,Brundidge,Springhill Hwy,36010-,,,334-735-3680,$12.00,$12.00,1965,N/A,Tina Black,Tina Black,Forrest Caldwell,Open,9
62,Hidden Valley Golf Course,AL,Jackson,Bryant,607 County Rd 393,35958-7031,,rbynum@9858.com,256-495-9608,$10.00,$10.00,1985,N/A,Vern Webb,Bob Bynum,Joe Holder,Open,18
63,Choctaw Country Club,AL,Choctaw,Butler,Country Club Dr,36904-,,,205-459-4000,$10.00,$10.00,1963,N/A,Larry Reynolds,Larry Reynolds,Larry Reynolds,Reciprocal,9
64,Buxahatchee Country Club,AL,Shelby,Calera,Country Club Dr,35040-,,,205-668-1845,$8.00,$8.00,1966,N/A,John Kent,John Kent,Danny Glascock,Closed,9
65,Roland Cooper State Park Golf Course,AL,Wilcox,Camden,285 Deer Run Rd,36726-3825,,,334-682-4838,$13.00,$13.00,1972,"16,700 (estimated)",Larry Tubbs,Larry Tubbs,Larry Tubbs,Open,9
66,Cherokee Country Club,AL,Cherokee,Centre,Hwy 9 S,35960-7806,,,256-927-5070,$16.00,$12.00,1969,"20,000 (estimated)",Eddie Jackson,Eddie Jackson,Eddie Jackson,Open,18
67,Cahawba Falls Country Club,AL,Bibb,Centreville,2nd St N,35042-,,,205-926-9323,$17.00,$13.00,1966,N/A,Steve Greer,Bill Droake,Steve Greer,Open,18
68,Deerfield Golf Club,AL,Washington,Chatom,Hwy 56 E,36518-,,,334-847-2056,$25.00,$22.32,1993,N/A,Glenn Sansing,Glenn Sansing,Glenn Sansing,Open,18
69,Citronelle Municipal Golf Course,AL,Mobile,Citronelle,18350 Lakeview Dr,36522-,,,334-866-7881,$12.00,$12.00,1975,"30,000 (estimated)",Tony White,Tony White,Tony White,Open,18
70,Clanton Country Club,AL,Chilton,Clanton,1 Country Club Rd,35046-8786,,,205-755-0415,$18.00,$18.00,1935,N/A,Jonnie Smith,Jonnie Smith,Richard Martin,Open,9
71,Sehoya Golf Club,AL,Coosa,Clanton,716 Sehoya Dr,35046-,,,256-245-6208,$24.00,$20.00,1999,N/A,Gary Braughton,Gary Braughton,Gary Braughton,Open,9
72,Coosa Pines Golf Club,AL,Talladega,Coosa Pines,17589 Plant Rd,35044-9002,,,256-378-5529,$36.00,$36.00,,"25,000 (estimated)",Jeane Pane,Henry Richie,Ray Beverley,Reciprocal,18
73,Warrior Point Golf Club,AL,Walker,Cordova,634 River's Edge Tr,35550-2265,,,205-648-7544,$30.00,$25.00,1996,N/A,Bill Cox,Bill Cox,Bill Cox,Open,18
74,Valley Landing Golf Course,AL,Lawrence,Courtland,985 County Rd 585,35618-3460,,,256-637-8735,$26.00,$23.00,2001,N/A,Dwight Crow,N/A,Ed Vuknic,Open,18
75,Terri Pines Country Club,AL,Cullman,Cullman,700 Pine Hill Dr,35057-6961,http://www.terripines.com,,256-739-0720,$46.00,$36.00,1980,"20,000 (estimated)",Charles Krenkel,Charles Krenkel,Bennie Bohanan,Reciprocal,18
76,Legend Course at Still Waters Resort,AL,Tallapoosa,Dadeville,161 Harbor Dr,36853-,,swgolfshop@mindspring.com,256-825-7021,$58.00,$53.00,1972,"38,000 (estimated)",Robert Witherington,John M. Humphrey,Gunner Coffman,Open,36
77,Tradition Course at Still Waters Resort,AL,Tallapoosa,Dadeville,161 Harbor Dr,36853-,,swgolfshop@mindspring.com,256-825-7021,$58.00,$53.00,1997,"38,000 (estimated)",Robert Witherington,John M. Humphrey,Gunner Coffman,Open,36
78,Dogwood Pines Course at TimberCreek Golf Club,AL,Baldwin,Daphne,9650 Timbercreek Blvd,36527-,,,334-621-9900,$55.00,$55.00,1993,"32,000 (estimated)",Andrew Ray,Tommy Foxworth,Scott Crum,Open,27
79,Forest Course at Lake Forest Yacht & Country Club,AL,Baldwin,Daphne,1 Golf Terrace,36526-,,,334-626-9324,$29.00,$23.00,1969,"45,000 (estimated)",Jake Bodiford,Steve Jernudd,Bobby Farley,Closed,27
80,Lake Nine Course at Lake Forest Yacht & Country Club,AL,Baldwin,Daphne,1 Golf Terrace,36526-,,,334-626-9324,$17.00,$17.00,1969,"45,000 (estimated)",Jake Bodiford,Steve Jernudd,Bobby Farley,Closed,27
81,Magnolia Dogwood Course at TimberCreek Golf Club,AL,Baldwin,Daphne,9650 Timbercreek Blvd,36527-,,,334-621-9900,$55.00,$55.00,1993,"32,000 (estimated)",Andrew Ray,Tommy Foxworth,Scott Crum,Open,27
82,Pines Magnolia Course at TimberCreek Golf Club,AL,Baldwin,Daphne,9650 Timbercreek Blvd,36527-,,,334-621-9900,$55.00,$55.00,1993,"32,000 (estimated)",Andrew Ray,Tommy Foxworth,Scott Crum,Open,27
83,Isle Dauphine Golf Club,AL,Mobile,Dauphin Island,100 Orleans Dr,36528-,,,334-861-2433,$13.50,$12.50,1962,"30,000 (estimated)",Jeff Collier,Jeff Collier,"Arnold Collier, Jr",Open,18
84,Burningtree Country Club,AL,Morgan,Decatur,2521 Burningtree Dr Se,35603-,,info@granitegolf.com,256-355-5982,$30.00,$30.00,1964,"35,000 (estimated)",Monica Lawlor,Jim Settles,Tom Dickman,Reciprocal,18
85,Cedar Ridge Golf Course,AL,Morgan,Decatur,3030 Moadus Rd Sw,35603-4254,,,256-353-4653,$18.00,$14.00,1975,"30,000 (estimated)",Sherry Holland,Sherry Holland,Sam Arnold,Open,18
86,Decatur Country Club,AL,Morgan,Decatur,2401 Country Club Rd Se,35601-,,,256-353-3039,$40.00,$40.00,1943,"25,000 (estimated)",Carol Bradford,Rusty Stephens,Dennis James,Reciprocal,18
87,Indian Hills Golf Course,AL,Morgan,Decatur,127 Par Private Dr,35603-,,,256-773-9939,$13.00,$10.00,1945,N/A,Cleo Teague,Cleo Teague,Cleo Teague,Open,18
88,Point Mallard Golf Course,AL,Morgan,Decatur,2600-A Point Mallard Dr,35601-6743,http://www.pointmallardpark.com,bstewart@decatur-al.gov,256-341-4925,$21.00,$17.00,1969,N/A,Jack Wren,Elvis Larkin,N/A,Open,18
89,Demopolis Country Club,AL,Marengo,Demopolis,1620 Country Club Dr,36732-3446,,,334-289-0880,$20.00,$20.00,1958,"35,000 (estimated)",Ken Daniels,Ken Daniels,Ken Daniels,Closed,18
90,Ravine Golf Course,AL,Marengo,Demopolis,748 Sportsplex Dr,36732-,,,334-289-1414,$22.00,$17.00,1999,N/A,Rex Bible,Rex Bible,Rex Bible,Open,9
91,Horse Creek Golf Course,AL,Walker,Dora,1745 Hwy 78,35062-2322,,,205-648-1499,$31.50,$26.50,2000,N/A,Jack Bergsieker,Jack Bergsieker,Maxie Preston,Open,18
92,Dothan Country Club,AL,Houston,Dothan,200 S Cherokee Ave,36301-1282,,,334-792-8255,$25.00,$25.00,1960,"28,000 (estimated)",Gene Ziebach,Kevin Klein,Tim Etheridge,Reciprocal,18
93,Dothan National Golf Club & Hotel,AL,Houston,Dothan,7410 Us Hwy 231 S,36301-,http://www.dngch.com,dngch@ala.net,334-677-3321,$24.00,$13.00,1968,"35,000 (estimated)",Frank Gasaway,N/A,Rodger Kunkle,Only with a Member,18
94,Green Hill Golf Course,AL,Houston,Dothan,2600 Old Campbellton Hwy,36301-7636,,,334-792-3597,$10.50,$10.50,1990,"20,000 (estimated)",Andy Ming,N/A,Andy Ming,Open,18
95,Highlands Marshwood Course at Highland Oaks Golf Course,AL,Houston,Dothan,904 Royal Pkwy,36305-6922,,,334-712-2820,$54.00,$54.00,1993,"41,000 (estimated)",Paul Martino,Greg Gossett,Dale Hawley,Open,36
96,Magnolia Highlands Course at Highland Oaks Golf Course,AL,Houston,Dothan,904 Royal Pkwy,36305-6922,,,334-712-2820,$54.00,$54.00,1993,"41,000 (estimated)",Paul Martino,Greg Gossett,Dale Hawley,Open,36
97,Marshwood Magnolia Course at Highland Oaks Golf Course,AL,Houston,Dothan,904 Royal Pkwy,36305-6922,,,334-712-2820,$54.00,$54.00,1993,"41,000 (estimated)",Paul Martino,Greg Gossett,Dale Hawley,Open,36
98,Olympia Spa Golf Resort,AL,Houston,Dothan,7410 Hwy 231 S,36301-,,,334-677-3326,$22.00,$10.00,1968,"30,000 (estimated)",Carol Lapham,Carol Lapham,Rodger Kunkle,Open,18
99,Short Course at Highland Oaks Golf Course,AL,Houston,Dothan,904 Royal Pkwy,36305-6922,,,334-712-2820,$25.00,$25.00,1993,"41,000 (estimated)",Paul Martino,Greg Gossett,Dale Hawley,Open,36
100,High Point Golf Club,AL,Mobile,Eight Mile,4603 Golf Way Dr,36613-,,,334-452-6531,$20.00,$18.00,1998,N/A,Bill McKenna,Arlandra Boykin,Toby Creighton,Open,9
101,Elba Country Club,AL,Coffee,Elba,Taylor Mill Rd,36323-,,,334-897-6600,$15.00,$15.00,1963,N/A,John Martin,John Martin,Mike Capps,Closed,9
102,Soldiers Creek Golf Club At The Preserve,AL,Baldwin,Elberta,12096 County Rd 95,36530-,http://www.soldierscreekgolf.com,,251-986-8633,$65.00,$65.00,2001,N/A,Nick Woerner,Russ Garcia,Erik Tanner,Open,18
103,Percy Marcum Golf Course,AL,Jefferson,Empire,9621 Bagley Rd,35063-5119,,,205-647-3377,$13.00,$9.50,1969,"15,000 (estimated)",Percy Marcum,Percy Marcum,Percy Marcum,Open,18
104,Enterprise Country Club,AL,Coffee,Enterprise,3000 Ozark Hwy 27 N,36330-8204,,,334-347-2726,$40.00,$25.00,1960,N/A,Jon Samuleson,Jon Samuelson,Johnny McKinney,Closed,18
105,Eufaula Country Club,AL,Barbour,Eufaula,2650 Country Club Rd,36027-5907,,,334-687-2007,$15.00,$15.00,1989,N/A,Debra Cole,Debra Cole,Jan Taylor,Reciprocal,18
106,Lakepoint Resort Golf Course,AL,Barbour,Eufaula,Route 2,36027-4612,,,334-687-6676,$14.00,$14.00,1960,"20,000 (estimated)",Bobbie Bowling,Bobbie Bowling,Foster Anson,Open,18
107,Red Eagle Golf Course,AL,Barbour,Eufaula,101 Merion Dr,36027-,,,334-687-8003,$27.00,$24.84,1986,N/A,Steve Kennedy,Steve Kennedy,Neil Yarborough,Open,18
108,Evergreen Golf Club,AL,Conecuh,Evergreen,Hwy 31 N,36401-,,,334-578-5214,$15.00,$15.00,1930,N/A,Dan Wagner,Tommy Chapman,Tommy Chapman,Closed,9
109,Quail Creek Golf Course,AL,Baldwin,Fairhope,19841 Quail Creek Dr,36532-,http://www.cofairhope.com/golf.html,quailcreekgolf@aol.com,251-990-0241,$36.00,$36.00,1988,"48,000 (estimated)",Alan Pate,Alan Pate,Harold Childres,Open,18
110,Rock Creek Golf Club,AL,Baldwin,Fairhope,140 Clubhouse Dr,36532-,,,334-928-4223,$59.00,$59.00,1993,"35,000 (estimated)",Todd Edwards,Todd Edwards,Scott Geram,Open,18
111,Chesley Oaks Golf Course,AL,Cullman,Fairview,1035 County Rd 1583,35058-1400,,play@chesleyoaksgolf.com,256-796-9808,$21.00,$17.00,1996,"30,000 (estimated)",Bob Andrews,Josh Jackson,Bobby Hand,Open,18
112,Fayette Country Club,AL,Fayette,Fayette,Country Club Rd,35555-,,,205-932-4079,$12.00,$12.00,1926,N/A,Jeff Howard,Jeff Howard,Jeff Howard,Reciprocal,9
113,Dogwood Hills Golf Club,AL,Jackson,Flat Rock,26460 Alabama Hwy 71,35966-5740,,dcslater@farmerstel.com,256-632-3634,$33.00,$27.00,1977,"35,000 (estimated)",Bryce Slater,Bryce Slater,Verlon Carrell,Open,18
114,Florence Golf & Country Club,AL,Lauderdale,Florence,450 Country Club Dr,35630-,,,256-766-1427,$25.00,$25.00,1927,"25,000 (estimated)",Mike Martin,Chris Burns,Joe Gallager,Reciprocal,18
115,McFarland Park Golf Course,AL,Lauderdale,Florence,200 James M Spain Dr,35630-,,,256-760-6428,$15.00,$15.00,1972,"39,000 (estimated)",Charles Parrish,Charles Parrish,Fred Boughner,Open,18
116,Skypark Golf Course,AL,Lauderdale,Florence,1300 Skypark Rd,35634-2423,,,256-757-4911,$12.00,$12.00,1954,"11,000 (estimated)",Greg Allen,N/A,Greg Allen,Open,9
117,Dunes Course at Glenlakes Golf Club,AL,Baldwin,Foley,9530 Clubhouse Dr,36535-9326,http://www.glenlakes.com,sales@glenlakes.com,251-955-1220,$51.00,$51.00,1984,"52,000 (estimated)",Ron Prescott,Ron Prescott,John Bokoski,Open,27
118,Gulf Links Golf Course,AL,Baldwin,Foley,3901 S Mckenzie St,36535-,,,334-970-1444,$20.00,$20.00,1996,"20,000 (estimated)",John McDonald,Joan Waha,Pat Stewart,Open,18
119,Lakes Course at Glenlakes Golf Club,AL,Baldwin,Foley,9530 Clubhouse Dr,36535-9326,http://www.glenlakes.com,sales@glenlakes.com,251-955-1220,$32.50,$32.50,1994,"52,000 (estimated)",Ron Prescott,Ron Prescott,John Bokoski,Open,27
120,Cane Creek Golf Course,AL,Calhoun,Fort Mcclellan,Bldg 2250,36205-,,,256-820-9174,$18.00,$12.00,1942,"32,000 (estimated)",Glen Collins,Glen Collins,Dee Loucks,Open,18
121,Desoto Country Club,AL,De Kalb,Fort Payne,502 Crystal Lake Rd,35967-,,,256-845-2571,$15.00,$15.00,1974,N/A,Joel Burt,Gary Jackson,Hugh Chitwood,Closed,9
122,Terrapin Hills Country Club,AL,De Kalb,Fort Payne,5501 Club Dr,35967-8241,,,256-845-4624,$50.00,$50.00,1970,"15,000 (estimated)",Van Newberry,Wesley Bates,Tim Janzen,Reciprocal,18
123,Blue Red Course at Silver Wings Golf Course,AL,Dale,Fort Rucker,Bldg 20067,36362-,,,334-598-2449,$15.00,$12.00,,"70,000 (estimated)",Rick Clark,Jim Doulin,Rick Clark,Reciprocal,27
